CustomerID,monetary,frequency,cycle,recency,R,F,M,segment
12393,1582.6,4,86.66666666666667,73.0,2,3,4,Regular Customers
12394,1080.48,2,154.0,64.0,3,2,4,Regular Customers
12395,2662.28,14,27.384615384615383,16.0,4,4,5,High Value Customers
12397,2214.9,2,100.0,36.0,3,2,5,Regular Customers
12398,1435.66,1,,46.0,3,1,4,Regular Customers
12399,1033.65,4,47.333333333333336,120.0,2,3,4,Regular Customers
12401,69.3,1,,304.0,1,1,1,Regular Customers
12402,195.6,1,,324.0,1,1,1,Regular Customers
12403,391.7,1,,50.0,3,1,2,Regular Customers
12405,1390.39,1,,149.0,2,1,4,Regular Customers
12406,3280.75,3,80.5,23.0,4,2,5,Potential High Value Customers
12407,1507.12,5,53.75,50.0,3,3,4,Regular Customers
12408,2587.57,8,32.57142857142857,33.0,3,4,5,Regular Customers
12409,11056.93,7,17.333333333333332,79.0,2,4,5,At Risk Customers
12410,521.08,3,3.5,302.0,1,2,3,Regular Customers
12412,1142.88,3,47.5,75.0,2,2,4,Regular Customers
12413,676.15,4,90.33333333333331,67.0,3,3,3,Regular Customers
12414,442.41,3,46.5,218.0,1,2,2,Regular Customers
12415,123638.18,22,14.904761904761903,25.0,4,5,5,High Value Customers
12417,3155.8,11,35.4,4.0,5,4,5,High Value Customers
12418,668.58,1,,113.0,2,1,3,Regular Customers
12420,600.39,1,,64.0,3,1,3,Regular Customers
12421,639.04,4,101.33333333333331,16.0,4,3,3,Regular Customers
12422,683.5600000000001,3,114.5,96.0,2,2,3,Regular Customers
12423,1624.11,8,50.42857142857143,1.0,5,4,4,High Value Customers
12424,1760.96,2,0.0,163.0,2,2,4,Regular Customers
12425,777.2,1,,79.0,2,1,3,Regular Customers
12426,510.73,1,,195.0,1,1,3,Regular Customers
12427,582.37,4,116.66666666666669,22.0,4,3,3,Regular Customers
12428,6366.0,11,25.8,26.0,4,4,5,High Value Customers
12429,3388.4,4,118.66666666666669,10.0,5,3,5,Potential High Value Customers
12430,216.4,1,,44.0,3,1,1,Regular Customers
12431,6311.39,17,21.125,36.0,3,5,5,Regular Customers
12432,4359.32,4,43.333333333333336,43.0,3,3,5,Regular Customers
12433,13375.87,7,62.16666666666666,1.0,5,4,5,High Value Customers
12434,792.94,2,176.0,85.0,2,2,3,Regular Customers
12435,7829.89,2,188.0,80.0,2,2,5,Regular Customers
12436,429.0100000000001,1,,100.0,2,1,2,Regular Customers
12437,4392.66,19,18.33333333333333,2.0,5,5,5,High Value Customers
12438,2466.85,2,126.0,15.0,4,2,5,Potential High Value Customers
12441,155.55,1,,367.0,1,1,1,Regular Customers
12442,144.06,1,,4.0,5,1,1,Regular Customers
12444,4085.46,5,37.5,22.0,4,3,5,Potential High Value Customers
12445,77.4,1,,23.0,4,1,1,Regular Customers
12446,1002.31,1,,58.0,3,1,4,Regular Customers
12447,431.49,1,,244.0,1,1,2,Regular Customers
12448,365.45,1,,45.0,3,1,2,Regular Customers
12449,3596.29,4,55.0,23.0,4,3,5,Potential High Value Customers
12450,197.88,2,17.0,157.0,2,2,1,Regular Customers
12451,8893.52,5,78.5,11.0,5,3,5,Potential High Value Customers
12452,348.57,1,,17.0,4,1,2,Regular Customers
12453,707.09,1,,135.0,2,1,3,Regular Customers
12455,2339.86,5,55.75,74.0,2,3,5,Regular Customers
12456,2553.89,4,70.0,45.0,3,3,5,Regular Customers
12457,1597.78,11,18.1,59.0,3,4,4,Regular Customers
12458,787.4,2,213.0,72.0,2,2,3,Regular Customers
12461,626.88,1,,155.0,2,1,3,Regular Customers
12462,872.01,4,100.33333333333331,3.0,5,3,3,Regular Customers
12463,1175.58,5,47.0,54.0,3,3,4,Regular Customers
12464,957.05,8,42.71428571428572,11.0,5,4,4,High Value Customers
12465,673.89,3,81.0,8.0,5,2,3,Regular Customers
12468,652.0400000000001,3,86.5,144.0,2,2,3,Regular Customers
12471,16374.97,45,8.409090909090908,3.0,5,5,5,High Value Customers
12472,5800.33,13,28.58333333333333,31.0,4,4,5,High Value Customers
12473,2555.77,4,46.0,54.0,3,3,5,Regular Customers
12474,6528.97,27,13.5,18.0,4,5,5,High Value Customers
12475,669.38,1,,54.0,3,1,3,Regular Customers
12476,5641.03,17,19.4375,2.0,5,5,5,High Value Customers
12477,13117.86,9,36.125,23.0,4,4,5,High Value Customers
12478,545.99,1,,4.0,5,1,3,Regular Customers
12479,423.3,2,7.0,5.0,5,2,2,Regular Customers
12480,2885.63,4,102.66666666666669,29.0,4,3,5,Potential High Value Customers
12481,5014.86,11,34.3,23.0,4,4,5,High Value Customers
12483,1873.13,11,32.2,18.0,4,4,4,High Value Customers
12484,3907.27,6,60.2,36.0,3,3,5,Regular Customers
12488,1244.66,3,33.0,10.0,5,2,4,Potential High Value Customers
12489,298.93,1,,337.0,1,1,2,Regular Customers
12490,4859.93,10,36.0,6.0,5,4,5,High Value Customers
12491,424.4,1,,39.0,3,1,2,Regular Customers
12492,227.21,2,42.0,64.0,3,2,1,Regular Customers
12493,362.79,2,32.0,166.0,2,2,2,Regular Customers
12494,995.35,10,39.55555555555556,10.0,5,4,4,High Value Customers
12497,953.1,1,,82.0,2,1,4,Regular Customers
12498,349.70000000000005,3,18.0,22.0,4,2,2,Regular Customers
12500,4026.27,12,28.181818181818183,24.0,4,4,5,High Value Customers
12501,1945.68,2,21.0,316.0,1,2,4,Regular Customers
12502,2995.87,5,53.5,96.0,2,3,5,Regular Customers
12504,60.0,1,,31.0,4,1,1,Regular Customers
12506,73.5,1,,233.0,1,1,1,Regular Customers
12507,1006.06,4,54.66666666666666,135.0,2,3,4,Regular Customers
12508,398.27,2,3.0,27.0,4,2,2,Regular Customers
12509,158.5,1,,285.0,1,1,1,Regular Customers
12510,814.5699999999999,2,183.0,143.0,2,2,3,Regular Customers
12512,138.03,2,0.0,67.0,3,2,1,Regular Customers
12513,532.79,1,,113.0,2,1,3,Regular Customers
12514,1017.68,1,,268.0,1,1,4,Regular Customers
12515,278.7,1,,354.0,1,1,2,Regular Customers
12516,1186.06,2,103.0,78.0,2,2,4,Regular Customers
12517,2284.89,5,40.5,29.0,4,3,5,Potential High Value Customers
12518,1840.89,5,27.5,1.0,5,3,4,Potential High Value Customers
12519,286.84,1,,64.0,3,1,2,Regular Customers
12520,2294.51,6,38.8,80.0,2,3,5,Regular Customers
12521,545.68,1,,143.0,2,1,3,Regular Customers
12522,156.72,2,12.0,40.0,3,2,1,Regular Customers
12523,1655.57,12,30.0,2.0,5,4,4,High Value Customers
12524,3945.72,8,46.285714285714285,10.0,5,4,5,High Value Customers
12526,1172.66,3,47.0,1.0,5,2,4,Potential High Value Customers
12527,330.71000000000004,3,122.0,82.0,2,2,2,Regular Customers
12528,1634.28,8,43.285714285714285,10.0,5,4,4,High Value Customers
12530,1461.63,5,69.25,60.0,3,3,4,Regular Customers
12531,125.22,1,,15.0,4,1,1,Regular Customers
12532,313.83000000000004,1,,31.0,4,1,2,Regular Customers
12534,981.18,1,,131.0,2,1,4,Regular Customers
12535,716.35,2,95.0,92.0,2,2,3,Regular Customers
12536,4151.26,2,52.0,8.0,5,2,5,Potential High Value Customers
12538,363.95,1,,30.0,4,1,2,Regular Customers
12539,5568.35,4,103.66666666666669,23.0,4,3,5,Potential High Value Customers
12540,11501.79,19,19.0,20.0,4,5,5,High Value Customers
12541,841.18,3,125.5,30.0,4,2,3,Regular Customers
12544,299.7,2,7.0,30.0,4,2,2,Regular Customers
12545,832.39,2,184.0,76.0,2,2,3,Regular Customers
12546,1001.5,2,31.0,47.0,3,2,4,Regular Customers
12547,151.79999999999998,2,83.0,198.0,1,2,1,Regular Customers
12548,67.19999999999999,1,,167.0,2,1,1,Regular Customers
12550,824.83,1,,80.0,2,1,3,Regular Customers
12551,168.0,1,,358.0,1,1,1,Regular Customers
12552,317.82,1,,40.0,3,1,2,Regular Customers
12553,3238.25,13,26.75,9.0,5,4,5,High Value Customers
12556,603.71,2,101.0,51.0,3,2,3,Regular Customers
12557,11990.96,5,88.75,17.0,4,3,5,Potential High Value Customers
12559,500.21,2,9.0,311.0,1,2,3,Regular Customers
12560,1895.47,3,69.0,6.0,5,2,4,Potential High Value Customers
12561,238.85,1,,303.0,1,1,1,Regular Customers
12562,3385.74,7,31.666666666666668,9.0,5,4,5,High Value Customers
12564,402.9,1,,262.0,1,1,2,Regular Customers
12565,131.17,2,7.0,282.0,1,2,1,Regular Customers
12566,292.7,2,14.0,73.0,2,2,2,Regular Customers
12567,8322.94,11,34.7,23.0,4,4,5,High Value Customers
12569,3128.99,33,7.8125,3.0,5,5,5,High Value Customers
12571,519.61,2,82.0,40.0,3,2,3,Regular Customers
12572,896.72,3,21.5,9.0,5,2,3,Regular Customers
12573,160.54,1,,228.0,1,1,1,Regular Customers
12574,182.45,1,,316.0,1,1,1,Regular Customers
12576,1306.98,6,53.8,36.0,3,3,4,Regular Customers
12577,591.45,3,162.0,36.0,3,2,3,Regular Customers
12578,2372.61,4,105.66666666666669,22.0,4,3,5,Potential High Value Customers
12579,374.72,1,,79.0,2,1,2,Regular Customers
12580,379.7,1,,247.0,1,1,2,Regular Customers
12581,179.71,1,,40.0,3,1,1,Regular Customers
12582,351.36,2,50.0,239.0,1,2,2,Regular Customers
12583,6629.34,16,24.73333333333333,3.0,5,5,5,High Value Customers
12584,1809.95,16,18.466666666666665,4.0,5,5,4,High Value Customers
12585,1766.81,4,39.0,235.0,1,3,4,Regular Customers
12586,196.94000000000003,1,,18.0,4,1,1,Regular Customers
12587,104.0,1,,8.0,5,1,1,Regular Customers
12588,174.89999999999998,1,,40.0,3,1,1,Regular Customers
12589,574.68,2,116.0,29.0,4,2,3,Regular Customers
12590,9338.38,2,21.0,191.0,1,2,5,Regular Customers
12591,368.85,1,,318.0,1,1,2,Regular Customers
12592,401.6,2,121.0,93.0,2,2,2,Regular Customers
12593,382.1,3,55.0,109.0,2,2,2,Regular Customers
12594,3208.2200000000003,9,35.625,38.0,3,4,5,Regular Customers
12596,450.27,2,191.0,52.0,3,2,2,Regular Customers
12597,3067.13,5,62.25,20.0,4,3,5,Potential High Value Customers
12598,2786.68,8,39.285714285714285,10.0,5,4,5,High Value Customers
12599,888.58,7,45.833333333333336,30.0,4,4,3,Potential High Value Customers
12600,2311.04,10,38.11111111111112,29.0,4,4,5,High Value Customers
12601,479.56,6,28.6,190.0,1,3,3,Regular Customers
12602,153.12,1,,59.0,3,1,1,Regular Customers
12603,613.1999999999999,1,,22.0,4,1,3,Regular Customers
12604,236.18,2,182.0,80.0,2,2,1,Regular Customers
12609,964.85,3,120.0,79.0,2,2,4,Regular Customers
12610,1705.99,6,20.8,23.0,4,3,4,Potential High Value Customers
12611,1193.32,1,,53.0,3,1,4,Regular Customers
12612,607.59,2,17.0,58.0,3,2,3,Regular Customers
12613,2966.98,5,57.75,32.0,4,3,5,Potential High Value Customers
12614,315.6,1,,278.0,1,1,2,Regular Customers
12615,2093.19,4,55.333333333333336,3.0,5,3,5,Potential High Value Customers
12616,585.25,5,53.0,86.0,2,3,3,Regular Customers
12617,355.53,1,,30.0,4,1,2,Regular Customers
12618,137.31,1,,22.0,4,1,1,Regular Customers
12619,2908.81,11,23.7,17.0,4,4,5,High Value Customers
12620,1303.41,3,95.0,15.0,4,2,4,Potential High Value Customers
12621,12334.07,23,16.545454545454547,2.0,5,5,5,High Value Customers
12622,162.1,1,,233.0,1,1,1,Regular Customers
12623,269.1,1,,277.0,1,1,2,Regular Customers
12624,569.13,2,71.0,107.0,2,2,3,Regular Customers
12625,2367.42,3,54.0,212.0,1,2,5,Regular Customers
12626,5722.35,13,25.25,24.0,4,4,5,High Value Customers
12627,4082.53,6,26.0,11.0,5,3,5,Potential High Value Customers
12628,715.61,4,20.0,5.0,5,3,3,Regular Customers
12630,1030.88,2,34.0,10.0,5,2,4,Potential High Value Customers
12631,480.5,1,,58.0,3,1,3,Regular Customers
12633,1906.63,5,57.25,59.0,3,3,4,Regular Customers
12635,1509.18,2,65.0,90.0,2,2,4,Regular Customers
12637,5809.25,9,32.0,68.0,3,4,5,Regular Customers
12638,511.69,1,,34.0,3,1,3,Regular Customers
12639,366.1,1,,239.0,1,1,2,Regular Customers
12640,994.58,3,29.0,24.0,4,2,4,Potential High Value Customers
12641,145.9,1,,116.0,2,1,1,Regular Customers
12642,905.26,3,41.0,26.0,4,2,3,Regular Customers
12643,3041.64,6,40.8,129.0,2,3,5,Regular Customers
12644,477.91,1,,130.0,2,1,3,Regular Customers
12645,1611.38,4,94.33333333333331,34.0,3,3,4,Regular Customers
12646,1346.97,2,45.0,5.0,5,2,4,Potential High Value Customers
12647,3093.92,13,28.916666666666668,23.0,4,4,5,High Value Customers
12648,300.05,1,,155.0,2,1,2,Regular Customers
12649,569.51,3,52.5,108.0,2,2,3,Regular Customers
12650,242.44000000000003,1,,4.0,5,1,1,Regular Customers
12651,114.0,1,,335.0,1,1,1,Regular Customers
12652,788.53,2,9.0,323.0,1,2,3,Regular Customers
12653,2209.85,2,148.0,149.0,2,2,5,Regular Customers
12654,529.98,5,71.25,11.0,5,3,3,Regular Customers
12656,3550.72,8,32.142857142857146,18.0,4,4,5,High Value Customers
12657,1008.06,5,16.75,12.0,5,3,4,Potential High Value Customers
12658,632.05,1,,19.0,4,1,3,Regular Customers
12659,73.68,1,,30.0,4,1,1,Regular Customers
12660,227.1,1,,12.0,5,1,1,Regular Customers
12662,3511.08,11,37.3,1.0,5,4,5,High Value Customers
12664,4391.88,9,39.25,9.0,5,4,5,High Value Customers
12665,43.75,2,7.0,325.0,1,2,1,Regular Customers
12667,460.13,1,,59.0,3,1,2,Regular Customers
12668,3113.18,5,87.0,8.0,5,3,5,Potential High Value Customers
12669,1427.73,2,106.0,151.0,2,2,4,Regular Customers
12670,2734.15,6,44.4,11.0,5,3,5,Potential High Value Customers
12672,225.9,1,,330.0,1,1,1,Regular Customers
12673,574.52,2,321.0,6.0,5,2,3,Regular Customers
12674,1793.31,7,32.666666666666664,12.0,5,4,4,High Value Customers
12676,1091.39,6,57.4,25.0,4,3,4,Potential High Value Customers
12678,16291.26,10,34.55555555555556,43.0,3,4,5,Regular Customers
12679,908.47,8,33.0,53.0,3,4,3,Regular Customers
12680,790.81,4,37.66666666666666,1.0,5,3,3,Regular Customers
12681,12309.59,26,14.12,15.0,4,5,5,High Value Customers
12682,11028.22,31,12.266666666666667,4.0,5,5,5,High Value Customers
12683,7371.94,19,20.05555555555556,5.0,5,5,5,High Value Customers
12684,2073.63,6,41.2,8.0,5,3,5,Potential High Value Customers
12685,2575.08,6,13.0,29.0,4,3,5,Potential High Value Customers
12686,71.14,1,,372.0,1,1,1,Regular Customers
12688,4873.81,1,,114.0,2,1,5,Regular Customers
12689,1139.61,2,102.0,26.0,4,2,4,Potential High Value Customers
12690,335.01,1,,206.0,1,1,2,Regular Customers
12691,927.8,5,82.25,29.0,4,3,4,Potential High Value Customers
12693,686.96,6,39.8,121.0,2,3,3,Regular Customers
12694,761.67,2,113.0,71.0,3,2,3,Regular Customers
12695,582.1,4,67.66666666666667,8.0,5,3,3,Regular Customers
12697,739.02,5,37.0,22.0,4,3,3,Regular Customers
12700,4525.99,4,69.33333333333333,8.0,5,3,5,Potential High Value Customers
12701,725.71,2,163.0,80.0,2,2,3,Regular Customers
12702,201.0,1,,20.0,4,1,1,Regular Customers
12703,256.7,2,7.0,65.0,3,2,2,Regular Customers
12704,1740.84,8,23.142857142857142,8.0,5,4,4,High Value Customers
12705,6328.24,13,28.5,16.0,4,4,5,High Value Customers
12707,603.42,1,,292.0,1,1,3,Regular Customers
12708,2346.32,16,22.6,30.0,4,5,5,High Value Customers
12709,9074.93,25,14.625,16.0,4,5,5,High Value Customers
12710,1004.57,4,35.0,97.0,2,3,4,Regular Customers
12712,3804.38,15,24.5,29.0,4,4,5,High Value Customers
12713,794.55,1,,1.0,5,1,3,Regular Customers
12714,4294.86,5,71.25,10.0,5,3,5,Potential High Value Customers
12715,273.86,1,,107.0,2,1,2,Regular Customers
12716,963.49,2,130.0,4.0,5,2,4,Potential High Value Customers
12717,830.98,2,94.0,152.0,2,2,3,Regular Customers
12718,202.25,1,,72.0,2,1,1,Regular Customers
12719,536.1,3,30.0,6.0,5,2,3,Regular Customers
12720,5065.28,28,13.592592592592592,3.0,5,5,5,High Value Customers
12721,2362.33,7,55.66666666666666,32.0,4,4,5,High Value Customers
12722,886.33,6,13.0,86.0,2,3,3,Regular Customers
12723,707.07,5,15.5,4.0,5,3,3,Regular Customers
12724,923.41,4,109.0,6.0,5,3,4,Potential High Value Customers
12725,371.8,1,,372.0,1,1,2,Regular Customers
12726,2411.1,7,54.833333333333336,29.0,4,4,5,High Value Customers
12727,3425.7,7,51.66666666666666,11.0,5,4,5,High Value Customers
12728,728.33,4,87.0,72.0,2,3,3,Regular Customers
12729,417.01,1,,114.0,2,1,2,Regular Customers
12731,18660.41,14,26.23076923076923,24.0,4,4,5,High Value Customers
12732,218.26,1,,180.0,1,1,1,Regular Customers
12733,383.95,1,,235.0,1,1,2,Regular Customers
12734,110.4,1,,353.0,1,1,1,Regular Customers
12735,689.5699999999999,2,22.0,316.0,1,2,3,Regular Customers
12736,144.0,1,,333.0,1,1,1,Regular Customers
12738,137.35,1,,373.0,1,1,1,Regular Customers
12739,975.54,1,,100.0,2,1,4,Regular Customers
12740,427.6,1,,64.0,3,1,2,Regular Customers
12743,546.43,2,0.0,135.0,2,2,3,Regular Customers
12744,9120.39,4,87.33333333333333,57.0,3,3,5,Regular Customers
12747,4196.01,11,36.7,3.0,5,4,5,High Value Customers
12748,30535.59,214,1.7511737089201878,1.0,5,5,5,High Value Customers
12749,3818.2,8,30.0,4.0,5,4,5,High Value Customers
12750,275.88,1,,129.0,2,1,2,Regular Customers
12752,4366.78,1,,82.0,2,1,5,Regular Customers
12753,21024.01,11,35.9,4.0,5,4,5,High Value Customers
12754,3010.74,3,36.5,236.0,1,2,5,Regular Customers
12755,2220.75,3,58.0,250.0,1,2,5,Regular Customers
12756,112.08,1,,87.0,2,1,1,Regular Customers
12757,4184.2,9,24.5,16.0,4,4,5,High Value Customers
12758,2791.59,2,160.0,117.0,2,2,5,Regular Customers
12759,1411.44,3,111.5,53.0,3,2,4,Regular Customers
12762,1702.52,2,18.0,8.0,5,2,4,Potential High Value Customers
12763,494.08,2,231.0,139.0,2,2,3,Regular Customers
12764,1693.88,1,,317.0,1,1,4,Regular Customers
12766,6457.63,7,60.5,4.0,5,4,5,High Value Customers
12769,1143.6,1,,239.0,1,1,4,Regular Customers
12770,1351.45,1,,211.0,1,1,4,Regular Customers
12772,752.47,1,,60.0,3,1,3,Regular Customers
12775,1246.24,5,73.5,18.0,4,3,4,Potential High Value Customers
12778,693.23,6,58.6,20.0,4,3,3,Regular Customers
12779,3868.7,12,31.818181818181817,22.0,4,4,5,High Value Customers
12781,707.48,4,87.66666666666667,22.0,4,3,3,Regular Customers
12782,1881.32,6,70.6,5.0,5,3,4,Potential High Value Customers
12783,1295.87,4,24.33333333333333,3.0,5,3,4,Potential High Value Customers
12784,518.42,1,,16.0,4,1,3,Regular Customers
12785,249.71,2,362.0,3.0,5,2,2,Regular Customers
12787,418.66,3,91.5,10.0,5,2,2,Regular Customers
12789,76.85,1,,66.0,3,1,1,Regular Customers
12790,294.92,1,,193.0,1,1,2,Regular Customers
12791,177.60000000000002,1,,374.0,1,1,1,Regular Customers
12792,344.54,1,,257.0,1,1,2,Regular Customers
12793,461.48,2,37.0,335.0,1,2,2,Regular Customers
12794,860.41,2,45.0,54.0,3,2,3,Regular Customers
12795,318.48,1,,19.0,4,1,2,Regular Customers
12797,166.18,1,,366.0,1,1,1,Regular Customers
12798,6977.04,3,80.0,11.0,5,2,5,Potential High Value Customers
12802,382.58,1,,187.0,1,1,2,Regular Customers
12808,455.65,3,166.0,37.0,3,2,2,Regular Customers
12809,400.36,2,9.0,169.0,2,2,2,Regular Customers
12811,458.85,2,23.0,262.0,1,2,2,Regular Customers
12812,229.64,1,,45.0,3,1,1,Regular Customers
12814,85.92,1,,102.0,2,1,1,Regular Customers
12815,863.46,2,51.0,148.0,2,2,3,Regular Customers
12816,452.2000000000001,2,81.0,96.0,2,2,2,Regular Customers
12817,126.04,1,,282.0,1,1,1,Regular Customers
12818,1157.88,2,83.0,179.0,1,2,4,Regular Customers
12820,942.34,4,107.66666666666669,4.0,5,3,4,Potential High Value Customers
12821,92.72,1,,215.0,1,1,1,Regular Customers
12822,918.98,2,17.0,71.0,3,2,4,Regular Customers
12823,1759.5,5,55.5,75.0,2,3,4,Regular Customers
12824,397.12,1,,60.0,3,1,2,Regular Customers
12826,1468.12,8,51.85714285714285,3.0,5,4,4,High Value Customers
12827,430.15,3,19.5,6.0,5,2,2,Regular Customers
12828,1018.71,6,25.6,3.0,5,3,4,Potential High Value Customers
12829,253.05,3,19.0,323.0,1,2,2,Regular Customers
12830,6814.64,6,26.8,38.0,3,3,5,Regular Customers
12831,215.05,1,,263.0,1,1,1,Regular Customers
12832,383.03,2,66.0,33.0,3,2,2,Regular Customers
12833,417.38,1,,146.0,2,1,2,Regular Customers
12834,312.38,1,,283.0,1,1,2,Regular Customers
12836,2612.86,4,84.0,60.0,3,3,5,Regular Customers
12837,134.1,1,,174.0,2,1,1,Regular Customers
12838,683.13,2,340.0,34.0,3,2,3,Regular Customers
12839,5588.12,15,26.071428571428573,3.0,5,4,5,High Value Customers
12840,2714.27,6,16.6,144.0,2,3,5,Regular Customers
12841,3879.35,26,14.68,5.0,5,5,5,High Value Customers
12842,1118.99,2,238.0,71.0,3,2,4,Regular Customers
12843,1680.76,9,24.875,66.0,3,4,4,Regular Customers
12844,325.96000000000004,2,101.0,30.0,4,2,2,Regular Customers
12845,354.09,4,7.666666666666667,268.0,1,3,2,Regular Customers
12847,871.54,1,,23.0,4,1,3,Regular Customers
12849,1033.25,2,237.0,32.0,4,2,4,Potential High Value Customers
12851,135.18,1,,97.0,2,1,1,Regular Customers
12852,299.75,2,4.0,291.0,1,2,2,Regular Customers
12853,1881.7,8,25.857142857142858,135.0,2,4,4,At Risk Customers
12854,1303.85,5,60.0,79.0,2,3,4,Regular Customers
12855,38.1,1,,373.0,1,1,1,Regular Customers
12856,2162.68,8,8.0,8.0,5,4,5,High Value Customers
12857,1106.4,2,92.0,211.0,1,2,4,Regular Customers
12863,504.2,2,147.0,53.0,3,2,3,Regular Customers
12864,147.12,1,,139.0,2,1,1,Regular Customers
12865,1568.23,2,97.0,27.0,4,2,4,Potential High Value Customers
12866,499.12,1,,284.0,1,1,3,Regular Customers
12867,3990.47,10,37.11111111111112,27.0,4,4,5,High Value Customers
12868,1607.0600000000002,6,37.6,186.0,1,3,4,Regular Customers
12871,380.64,2,123.0,85.0,2,2,2,Regular Customers
12872,599.97,2,39.0,327.0,1,2,3,Regular Customers
12873,374.0,1,,283.0,1,1,2,Regular Customers
12875,343.2300000000001,2,219.0,144.0,2,2,2,Regular Customers
12876,2053.02,2,139.0,58.0,3,2,5,Regular Customers
12877,1535.77,12,32.27272727272727,4.0,5,4,4,High Value Customers
12878,841.64,3,124.0,19.0,4,2,3,Regular Customers
12879,552.5699999999999,4,15.666666666666666,45.0,3,3,3,Regular Customers
12881,298.0,1,,276.0,1,1,2,Regular Customers
12882,1463.04,2,24.0,10.0,5,2,4,Potential High Value Customers
12883,703.47,4,21.666666666666668,25.0,4,3,3,Regular Customers
12884,309.05,1,,89.0,2,1,2,Regular Customers
12885,1158.27,4,20.0,64.0,3,3,4,Regular Customers
12886,1351.09,3,76.0,68.0,3,2,4,Regular Customers
12888,313.77,4,13.666666666666666,215.0,1,3,2,Regular Customers
12890,380.47,1,,25.0,4,1,2,Regular Customers
12891,331.0,3,53.5,186.0,1,2,2,Regular Customers
12893,188.14,1,,31.0,4,1,1,Regular Customers
12895,347.3,3,22.0,43.0,3,2,2,Regular Customers
12897,216.5,2,97.0,205.0,1,2,1,Regular Customers
12901,16316.14,33,8.1875,9.0,5,5,5,High Value Customers
12902,138.68,1,,265.0,1,1,1,Regular Customers
12904,509.58,2,154.0,19.0,4,2,3,Regular Customers
12906,2919.81,5,16.75,12.0,5,3,5,Potential High Value Customers
12908,360.0,3,68.0,177.0,2,2,2,Regular Customers
12909,2128.83,8,30.571428571428573,40.0,3,4,5,Regular Customers
12910,3075.04,8,31.142857142857142,24.0,4,4,5,High Value Customers
12912,1662.3,5,9.5,3.0,5,3,4,Potential High Value Customers
12913,2483.63,5,91.0,5.0,5,3,5,Potential High Value Customers
12915,363.65,2,224.0,149.0,2,2,2,Regular Customers
12916,2982.35,5,45.5,139.0,2,3,5,Regular Customers
12917,594.0,1,,129.0,2,1,3,Regular Customers
12919,1301.44,8,23.0,9.0,5,4,4,High Value Customers
12920,164.23,1,,18.0,4,1,1,Regular Customers
12921,16389.74,50,7.551020408163265,4.0,5,5,5,High Value Customers
12922,405.38,1,,162.0,2,1,2,Regular Customers
12923,175.72,1,,65.0,3,1,1,Regular Customers
12924,922.0,5,59.75,89.0,2,3,4,Regular Customers
12925,694.05,2,70.0,5.0,5,2,3,Regular Customers
12928,2062.7000000000003,5,81.0,36.0,3,3,5,Regular Customers
12929,102.9,1,,312.0,1,1,1,Regular Customers
12930,409.9,4,31.0,79.0,2,3,2,Regular Customers
12931,33544.81,19,18.666666666666668,22.0,4,5,5,High Value Customers
12933,607.53,3,129.5,25.0,4,2,3,Regular Customers
12935,2156.45,8,45.285714285714285,3.0,5,4,5,High Value Customers
